primary_type,description,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,hour,day_of_week,month,season,is_weekend,is_holiday,time_of_day,Is_STR,Is_OTH_STR,loc_desc_cat,pct_housing_crowded,pct_households_below_poverty,pct_age16_unemployed,pct_age25_nohighschool,pct_not_working_age,per_capita_income,hardship_index,population,pop_density,distance_to_police_station,distance_to_park,distance_to_school,distance_to_vacant_building,distance_to_library,crime_category
ASSAULT,SIMPLE,False,True,722,7.0,20.0,68.0,2022,41.775480691,-87.6333144,20,0,10,4,0,0,Night,False,True,Residential_Areas,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0257693986745931,0.0025059345022602,0.0034467620956027,0.0003670283283053,0.0077091420366746,violent_crime
WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,False,False,935,9.0,20.0,37.0,2024,41.79723971,-87.631893102,23,5,1,1,1,0,Night,True,False,Outdoor_And_Public_Spaces,3.2,51.2,33.9,26.6,44.9,10432,97.0,2567.0,3615.49,0.0047617429752672,0.0033054833787368,0.0045885868652033,0.00062274933132,0.0137278404890708,violent_crime
ASSAULT,SIMPLE,False,True,834,8.0,18.0,70.0,2019,41.746168896,-87.729582835,20,0,7,3,0,0,Night,False,True,Residential_Areas,4.0,10.4,11.7,17.7,36.9,23482,37.0,41098.0,8456.38,0.038811312830677,0.0035366283152305,0.0023195523238652,0.0032683483038361,0.0060402450822927,violent_crime
THEFT,OVER $500,False,False,1831,18.0,42.0,8.0,2024,41.889203826,-87.631640804,23,0,7,3,0,0,Night,True,False,Outdoor_And_Public_Spaces,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0182815725133248,0.0109466084212239,0.0110801575970783,0.0105899522950701,0.0116978703867233,non-violent_crime
THEFT,OVER $500,False,False,212,2.0,3.0,35.0,2023,41.83026023,-87.620532351,23,5,9,4,1,0,Night,False,True,Residential_Areas,1.8,29.6,18.2,14.3,30.7,23791,47.0,20291.0,12297.58,0.0028968345147084,0.0039353220853155,0.0013821154260206,0.0142126009831152,0.003404015903297,non-violent_crime
OTHER OFFENSE,OTHER CRIME AGAINST PERSON,False,True,623,6.0,6.0,44.0,2021,41.748695765,-87.622937851,21,0,3,2,0,0,Night,False,True,Residential_Areas,3.3,27.8,24.0,14.5,40.3,18881,60.0,31710.0,10749.15,0.0215673408304491,0.0074211378166707,0.0052950347013272,0.0067656287312271,0.0083180702015254,non-violent_crime
BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",False,False,935,9.0,3.0,37.0,2022,41.797471952,-87.633075129,17,4,1,1,0,0,Evening,False,True,Residential_Areas,3.2,51.2,33.9,26.6,44.9,10432,97.0,2567.0,3615.49,0.0050152853413982,0.0025954237959728,0.0042284494049609,0.000610837220403,0.0143901764059912,violent_crime
CRIMINAL TRESPASS,TO LAND,False,True,813,8.0,13.0,64.0,2024,41.777653599,-87.741045269,22,0,2,1,0,0,Night,False,True,Residential_Areas,2.7,8.9,9.5,18.8,37.6,25113,29.0,24473.0,9597.25,0.0322090689821112,0.0041990464275678,0.0066966843671097,0.0100077111297071,0.0173372686159694,non-violent_crime
ASSAULT,SIMPLE,False,False,1623,16.0,45.0,11.0,2023,41.976919898,-87.765082106,8,0,10,4,0,0,Morning,False,True,Residential_Areas,2.7,8.6,12.4,13.4,35.5,27751,25.0,26216.0,11251.5,0.0030201122210024,0.007680549414246,0.003066057601461,0.0244764394261984,0.0099782601370572,violent_crime
BURGLARY,FORCIBLE ENTRY,False,False,1831,18.0,42.0,8.0,2018,41.893362725,-87.641365059,0,2,8,3,0,0,Early Morning,True,False,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0100767876853753,0.0004584405758508,0.008702210938477,0.0178837777361609,0.0115900477901629,non-violent_crime
